example_id,customer_tweet_id,customer_id,customer_message,intent,expected_handling,handling_reason,reference_reply,created_at
GOLDEN_025,425159,216156,"So, what is the procces exactly? If I purchased eligible item how are you going to return back the price that is written in the trade-in place?",returns_and_refunds,AUTO_HANDLE,Standard informational inquiry for returns_and_refunds: Can be resolved with policy guidance.,"Once the trade-in is accepted, we'll issue a gift card to your account for the amount. Please see: https://t.co/920Xvvz3xQ for additional details. I hope this helps!",Mon Nov 20 18:16:29 +0000 2017
GOLDEN_026,352128,199745,They said in 4 working days your payment will refund to you. But yet i.e. after 12days still I am waiting for payment,returns_and_refunds,AUTO_HANDLE,Standard informational inquiry for returns_and_refunds: Can be resolved with policy guidance.,"Sorry about the stretch, we'd like an insight on this, please drop in the details here: https://t.co/GIJyeYqKE0",Sun Oct 08 16:19:32 +0000 2017
GOLDEN_027,98611,137581,"My hue+ just arrived from . The box is damaged as you can see, but hopefully all is well.",damaged_defective_item,ESCALATE,Physical product issue: Damaged merchandise requires replacement order creation or refund approval.,"I'm so sorry to see the box was damaged for this item, Justin! That's definitely not the service we pride ourselves in providing. Have you been able to check if the item itself is damaged?",Thu Nov 30 16:47:00 +0000 2017
GOLDEN_028,677647,281654,Hi. I need help sending my broken kindle back to the US. Im from the Philippines.,digital_and_devices,AUTO_HANDLE,Standard informational inquiry for digital_and_devices: Can be resolved with policy guidance.,I'm sorry to hear about the trouble with your Kindle. Please reach out to us directly so our Kidnel Support can look into available options with you: https://t.co/zRezwX4EBo,Thu Nov 23 06:41:49 +0000 2017
GOLDEN_029,867344,325948,"I need help, I try to log in and it tells me that my password is incorrect, change and I get the same, what can I do?",account_and_security,ESCALATE,Security-sensitive: Account access and identity verification cannot be resolved in public channels.,"I'm sorry for the troubles account troubles. Can you tell us which site you are on (https://t.co/hSs9w9f1pF, co.uk)?",Fri Oct 20 18:02:01 +0000 2017
GOLDEN_030,197586,162488,But i cannot login in my account it says that my account is blocked/locked,account_and_security,ESCALATE,Security-sensitive: Account access and identity verification cannot be resolved in public channels.,to your registered email account for further assistance. Appreciate your understanding. 2/2,Wed Oct 04 15:06:00 +0000 2017
GOLDEN_031,396859,210001,our Amazon Fire will no longer charge was only bought in April. What do we do?? #kidshavingameltdown,order_status_delivery,AUTO_HANDLE,Standard informational inquiry for order_status_delivery: Can be resolved with policy guidance.,I'm sorry it isn't charging! Have you tried some of these steps to get it to charge: https://t.co/09DRlZDqhA ?,Mon Oct 09 18:39:31 +0000 2017
GOLDEN_032,800350,310707,Hi this time I want to help you by refunding some money 💰 Diwali 🌋gift 🎁,order_status_delivery,AUTO_HANDLE,Standard informational inquiry for order_status_delivery: Can be resolved with policy guidance.,"I understand your concern, please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly.",Thu Oct 12 15:37:00 +0000 2017
GOLDEN_033,483851,230098,Still no resolution to the problem. How much time do you guys take (An another month ????) to just initiate a refund and send a confirmation mail to the customer.,returns_and_refunds,AUTO_HANDLE,Standard informational inquiry for returns_and_refunds: Can be resolved with policy guidance.,We apologize for the delay. We are working on your concern and will get back to you soon.,Sat Dec 02 15:59:32 +0000 2017
GOLDEN_034,1249417,413138,"pickup of damaged item deferred twice n ""address not found""(really!). r we to to hang around home in the hope u will turn up?",damaged_defective_item,ESCALATE,Physical product issue: Damaged merchandise requires replacement order creation or refund approval.,I'm sorry for the inconvenience on the return of your order. Call us here: https://t.co/vlvfJr4nN9 &amp; we'll help you.,Thu Oct 26 03:10:34 +0000 2017
GOLDEN_035,1034757,364772,I to cancel my amazon prime trial ugh now I’ve been charged,subscription_and_prime,AUTO_HANDLE,Standard informational inquiry for subscription_and_prime: Can be resolved with policy guidance.,Hey. You can cancel Amazon Prime via your account. Which Amazon website do you use - Amazon .com /.co.uk etc?,Mon Oct 23 06:32:52 +0000 2017
GOLDEN_036,293255,185857,"If my cousin gifts me a phone by paying using his citi bank card on my Amazon account so tht the invoice be on my name, will cash back 10% ?",billing_and_payment,ESCALATE,Financial dispute: Disputed charges require private transaction lookup and billing verification.,The invoice would be in the name of the shipping address. You would receive the cashback on the card.,Mon Oct 02 08:43:39 +0000 2017
GOLDEN_037,334899,195811,"I have never changed my password, and it is saying it is wrong so i don’t know what is wrong.",account_and_security,ESCALATE,Security-sensitive: Account access and identity verification cannot be resolved in public channels.,Please reach us via phone/e-mail here: https://t.co/jzvkhdlrK5 so we can take a closer look.,Sat Oct 07 20:36:00 +0000 2017
GOLDEN_038,64096,130714,"Hi Amazon, I signed up this week and placed an order. Now when I try sign in, it says my email isn't registered? Please help!",account_and_security,ESCALATE,Security-sensitive: Account access and identity verification cannot be resolved in public channels.,Oh no! Sorry to hear this. When you signed up a week ago did you receive an email from us?,Thu Nov 30 07:47:53 +0000 2017
GOLDEN_039,1038504,365695,forgot to cancel my free trial of amazon prime and it just charged me $100 ummm fuck,billing_and_payment,ESCALATE,Financial dispute: Disputed charges require private transaction lookup and billing verification.,I'm sorry for the unexpected charge! Here's a link to our Help page on how to cancel the membership: https://t.co/OGDyWLm1Zi,Mon Oct 23 02:39:00 +0000 2017
GOLDEN_040,229114,170637,"So it looks like doesn’t tape up both sides of #Prime orders anymore. It’s just open, time to check if stuff is missing or broken.",damaged_defective_item,ESCALATE,Physical product issue: Damaged merchandise requires replacement order creation or refund approval.,"Hello, I am sorry to see this. Please let us know if anything is broken or missing.",Thu Oct 05 08:33:25 +0000 2017
GOLDEN_041,572458,254507,Hi! My Kindle is not starting up. It shows a battery symbol with an exclamation mark (Dried out battery symbol) on screen. I have tried charging it but it hasnt worked. Hv bot a new kindle paperwhite but some fix for the faulty one.,digital_and_devices,AUTO_HANDLE,Standard informational inquiry for digital_and_devices: Can be resolved with policy guidance.,We understand your Kindle is not working fine. Let us check this out for you. Please reach us via https://t.co/zjjeeldtst and we'll get in touch with you soon.,Sun Dec 03 04:51:27 +0000 2017
GOLDEN_042,181101,158534,hello my kindle is dying. I full charge it and in a few minutes the battery begins to drawn. It won’t last. What can I do?,digital_and_devices,AUTO_HANDLE,Standard informational inquiry for digital_and_devices: Can be resolved with policy guidance.,"Hi, sorry to hear that. Have you completed any troubleshooting steps? What device are you suing?",Wed Oct 04 12:52:29 +0000 2017
GOLDEN_043,197971,162537,issue not yet resolved. No help from customer care. Please initiate refund,returns_and_refunds,AUTO_HANDLE,Standard informational inquiry for returns_and_refunds: Can be resolved with policy guidance.,You should have received an email correspondence to your email address. Please check.,Thu Sep 28 20:30:55 +0000 2017
GOLDEN_044,439257,206029,Where the hell have you sent the email??? I can't see any....👿👿👿,order_status_delivery,ESCALATE,Fulfillment failure: Delivery marked completed but package missing requires carrier investigation / reshipment.,Could you please check here: https://t.co/8DAc10S7ww and let us know about the email we've sent to you.,Wed Oct 11 10:04:32 +0000 2017
GOLDEN_045,1100586,379662,I went to upload my release for the 28th the last hour of the 3 day deadline. I'm locked out. I have 1000's of readers who will get the 4 page placeholder. Can someone please help me. I'm desperate,account_and_security,ESCALATE,Security-sensitive: Account access and identity verification cannot be resolved in public channels.,"I am sorry to hear that, Lisa. Please reach out to us here to get this looked at in real time for you: https://t.co/uWFknpitgQ",Sat Nov 25 18:10:29 +0000 2017
GOLDEN_046,144153,148588,I’m trying to use the excuse that I needed a new kindle anyway 🙈💛,digital_and_devices,AUTO_HANDLE,Standard informational inquiry for digital_and_devices: Can be resolved with policy guidance.,We'll back up that statement! Our Paperwhite device gives you plenty of reasons to get lost in a good book.,Fri Nov 24 14:07:26 +0000 2017
GOLDEN_047,665662,278569,whos responsible for this mismanagement and waste of our money and time,order_status_delivery,AUTO_HANDLE,Standard informational inquiry for order_status_delivery: Can be resolved with policy guidance.,"Apologies for the stretch. I'd like to help you with this, please drop in your details here: https://t.co/GIJyeYqKE0 and we will get back to you at the earliest.",Wed Nov 15 10:16:54 +0000 2017
GOLDEN_048,897620,333169,Can you'll request an expedite? The gift is for my bro who has a train today by 6pm. Its #Bhaidooj #Diwali #gift 😕,order_status_delivery,AUTO_HANDLE,Standard informational inquiry for order_status_delivery: Can be resolved with policy guidance.,The packages are delivered as per the estimates provided. We do deliver the orders by the delivery estimates provided. 1/2,Sun Oct 22 08:17:29 +0000 2017
GOLDEN_049,1175591,187260,"I have sent 2 emails and am locked out of my account, no response. Fix this.",account_and_security,ESCALATE,Security-sensitive: Account access and identity verification cannot be resolved in public channels.,"Sorry for the issue with your account. So we can look into this for you, click skip sign in: https://t.co/6IDCD63nxv",Sun Oct 15 20:57:27 +0000 2017
GOLDEN_050,599056,260867,"When I bought a laptop I was automatically signed up for a 30day free trial, which I didn't know or use! When trial expired, they started charging me £7.99 a month!",damaged_defective_item,ESCALATE,Physical product issue: Damaged merchandise requires replacement order creation or refund approval.,"When you spoke with us before, were we able to resolve this issue? If not, please give us another chance to sort this for you. Reach us via phone or chat here: https://t.co/qy3J24VGxb",Sun Dec 03 20:15:00 +0000 2017
GOLDEN_051,780582,306376,"Dear Amazon why you not provide invoice in mobile #amazonin ,,😔🤔😕",billing_and_payment,AUTO_HANDLE,Standard informational inquiry for billing_and_payment: Can be resolved with policy guidance.,Sorry to know that you haven't received an invoice. You may print the invoice here: https://t.co/sX71UaO2c7,Thu Oct 12 06:12:00 +0000 2017
GOLDEN_052,1260491,415314,I preordered Super Mario Oddessey through and I won't get to play it until November 1-3rd as stated in an email I just recieved. The release date is October 27th. So much for two day prime shipping.. :-(,subscription_and_prime,AUTO_HANDLE,Standard informational inquiry for subscription_and_prime: Can be resolved with policy guidance.,"Hi, sorry for the delay. Please contact us here: https://t.co/Q7Ftz6nj80 to look into this with an agent.",Thu Oct 26 10:04:37 +0000 2017
GOLDEN_053,698723,286671,given 2 orders frm amazon tracking # 709143005747 709142997460 of .Out of delivery dated 10th oct but yet not recvd,order_status_delivery,AUTO_HANDLE,Standard informational inquiry for order_status_delivery: Can be resolved with policy guidance.,"Please don't provide your order details, as we consider them to be personal info. Our page is visible to the public. (2/2)",Fri Oct 13 02:58:27 +0000 2017
GOLDEN_054,476158,228184,delivered the wrong order and so I now have this huge box taking up my tiny living room which they won't collect until next Tuesday. No apology or compensation given. Really hacked off about it!,account_and_security,ESCALATE,Security-sensitive: Account access and identity verification cannot be resolved in public channels.,"I am very sorry to hear this. Can I ask, have you spoken to customer services about this? If so, what resolution was offered to you please?",Fri Dec 01 10:56:29 +0000 2017
GOLDEN_055,662756,277881,", its already 2 days as promised by Amazon CC and i m still waiting for my invoice copy, wats the progress?????",billing_and_payment,AUTO_HANDLE,Standard informational inquiry for billing_and_payment: Can be resolved with policy guidance.,"Apologies for the delay, please respond to the email correspondence you've received from our team and we'll look into this for you.",Fri Nov 17 15:00:30 +0000 2017
GOLDEN_056,1191354,400022,A new laptop was delivered on Saturday. Turned out to be defective. Ordered a replacement but can't be bothered to pick it up.,order_status_delivery,AUTO_HANDLE,Standard informational inquiry for order_status_delivery: Can be resolved with policy guidance.,Apologies for the delay with pick up. Please drop your details here: https://t.co/GIJyeYqKE0. We'll look into it.,Wed Oct 25 07:33:02 +0000 2017
GOLDEN_057,160410,152953,. I've talked to 10+ people on the phone over the last 2 months about my account. My account was hacked back in September and my account is now frozen and I'm unable to log in even after resetting my password multiple times. Nobody has any answers for me. RIDICULOUS,account_and_security,ESCALATE,Security-sensitive: Account access and identity verification cannot be resolved in public channels.,So sorry for the frustrations this has caused! Have you gotten any correspondence from an Account Specialist via email? Be sure to check your spam or junk folders.,Fri Nov 24 18:26:30 +0000 2017
GOLDEN_058,180346,158418,I want the pickup to be done today I can't wait for Tom u have the invoice with u with IMEI no so show them,billing_and_payment,AUTO_HANDLE,Standard informational inquiry for billing_and_payment: Can be resolved with policy guidance.,"I understand your concern, we're right on it! Request you to kindly wait.",Tue Oct 03 12:06:00 +0000 2017
GOLDEN_059,239501,172908,I accidentally signed up for Amazon Prime...,subscription_and_prime,AUTO_HANDLE,Standard informational inquiry for subscription_and_prime: Can be resolved with policy guidance.,"Oh! If you just have the free trial, you can disable the auto-renew feature and still finish your holiday shopping with Two-Day Shipping in the next month. Otherwise, you can cancel it here: https://t.co/VDYoHEZgdf",Sat Nov 25 02:27:00 +0000 2017
GOLDEN_060,2574,116321,and redund issued on 13th no sing of my money and amazonuk just saying its in the billing department.no signof devlp,billing_and_payment,AUTO_HANDLE,Standard informational inquiry for billing_and_payment: Can be resolved with policy guidance.,When you last contacted us what information did we provide? Have you spoken with your bank to see if they have the refund?,Tue Oct 31 21:58:00 +0000 2017
GOLDEN_061,144076,135795,So even with prime membership i cant get anything delivered from until monday even tho its a prime item Remind me what i pay for given i dont use the streaming services,subscription_and_prime,AUTO_HANDLE,Standard informational inquiry for subscription_and_prime: Can be resolved with policy guidance.,Orders placed with One-Day Delivery will arrive 1 business day after the item is dispatched. You can find more information about Prime delivery here: https://t.co/oCNUOG9VRl,Fri Nov 24 13:39:00 +0000 2017
GOLDEN_062,830770,317830,"Guys, this is insane! I've somehow had 2 prime memberships get charged to the SAME credit card and the SAME email but NOT the same account.",subscription_and_prime,AUTO_HANDLE,Standard informational inquiry for subscription_and_prime: Can be resolved with policy guidance.,We'd be happy to look into this with you by phone at the link that ^CL provided above. Please keep us posted on the outcome.,Fri Oct 13 04:13:00 +0000 2017
GOLDEN_063,109948,125706,This is really serious and i am ashamed of trusting amazon,order_status_delivery,AUTO_HANDLE,Standard informational inquiry for order_status_delivery: Can be resolved with policy guidance.,I get your disappointment. We have received your details and are working on your concern. We will get back to you with an update soon.,Wed Nov 22 23:41:00 +0000 2017
GOLDEN_064,1143117,389055,"I'm sorry, it was supposed to be delivered today but it couldn't be because of some reason. That's y I askd if it can be delivered tmr asap",order_status_delivery,AUTO_HANDLE,Standard informational inquiry for order_status_delivery: Can be resolved with policy guidance.,"No worries, Fahad, I get the urgency. However, as mentioned earlier the order will be delivered as per the estimated date.",Sun Oct 15 16:52:49 +0000 2017
GOLDEN_065,183257,159096,my Prime delivery was due Sunday. Ordered Saturday. Then I was told today. Still no delivery. If it’s lost I won’t get refund!,returns_and_refunds,AUTO_HANDLE,Standard informational inquiry for returns_and_refunds: Can be resolved with policy guidance.,"I'm sorry we missed our mark. We'd like to go over your options, please contact us here: https://t.co/JzP7hlA23B",Mon Oct 02 20:44:00 +0000 2017
GOLDEN_066,206008,164791,"They closed my account for failure of verification of payment method, but somehow still managed to charge me for Amazon Prime",billing_and_payment,AUTO_HANDLE,Standard informational inquiry for billing_and_payment: Can be resolved with policy guidance.,How were you notified of the charge Dikki? Can you report this to us via: https://t.co/hApLpMlfHN,Mon Nov 06 08:03:27 +0000 2017
GOLDEN_067,177391,157767,your delivery service is a joke now. I am never receiving my items on time...and your customer service instead of helping are cancelling orders without asking if I want a refund or just information about my orders. A lot of customers will drop their membership soon.,returns_and_refunds,AUTO_HANDLE,Standard informational inquiry for returns_and_refunds: Can be resolved with policy guidance.,I'm sorry for the trouble. We're here to help! Do you have a current order you are having delivery issues with found here: https://t.co/Y5jpI9gRhE?,Sat Nov 25 00:48:31 +0000 2017
GOLDEN_068,989508,354417,struggling with voice recognition/Alexa. “your voice” missing from App. Please help!,digital_and_devices,AUTO_HANDLE,Standard informational inquiry for digital_and_devices: Can be resolved with policy guidance.,"We're here to help! Have you tried uninstalling and re-installing the app as an attempt to fix this? Let us know, please!",Sun Oct 22 12:48:27 +0000 2017
GOLDEN_069,781685,214881,There is no follow-up support from your team for the request for damaged product received. Please help,damaged_defective_item,ESCALATE,Physical product issue: Damaged merchandise requires replacement order creation or refund approval.,I'm sorry to know about this. May I know what if you have requested for a return from here: https://t.co/3yqvLnyTxi?,Thu Oct 12 06:48:52 +0000 2017
GOLDEN_070,1011502,120784,my wife’s account has been compromised and we have called multiple times to get help with it and not been able to get it back.,account_and_security,ESCALATE,Security-sensitive: Account access and identity verification cannot be resolved in public channels.,"I'm sorry for the trouble with your account! When you contacted us, did we mention escalating this to an Account Specialists?",Sun Oct 22 21:15:58 +0000 2017
GOLDEN_071,1125046,385281,If the item is returned will I receive a refund for the product cost?,returns_and_refunds,AUTO_HANDLE,Standard informational inquiry for returns_and_refunds: Can be resolved with policy guidance.,"Yes, once the item has been received, you will be refunded back to your original payment method. Let us know if you need any further assistance!",Mon Nov 27 15:32:38 +0000 2017
GOLDEN_072,416979,214483,"No, some one logged in and changed her the e-mail linked to the account as well as password",account_and_security,ESCALATE,Security-sensitive: Account access and identity verification cannot be resolved in public channels.,Did your wife contact us and have info sent to our Accounts Specialists?,Tue Oct 10 03:27:30 +0000 2017
GOLDEN_073,181237,158556,What's up with ? Ever since they've started doing their own delivery they are routinely missing order delivery. My Amazon Prime package due Wed still hasn't been delivered and stuff I ordered at work never made it there at all even though they said it was delivered.,subscription_and_prime,AUTO_HANDLE,Standard informational inquiry for subscription_and_prime: Can be resolved with policy guidance.,Yikes! I'm sorry that happened. You can see what to do here: https://t.co/vHkzNGwm2l. Hope this helps.,Sat Nov 25 01:48:25 +0000 2017
GOLDEN_074,429000,158494,Nothing I have received no return before refund and compensation that's it you understand ???,returns_and_refunds,AUTO_HANDLE,Standard informational inquiry for returns_and_refunds: Can be resolved with policy guidance.,"If you haven't received our email, please share your details in the link here: https://t.co/GIJyeYqKE0.",Wed Oct 11 02:16:00 +0000 2017
GOLDEN_075,490473,231838,That $50 Amazon Prime payment just hit and I have -$50 in my bank account. It’s just once a year but fuck man I hate being overdrawn.,billing_and_payment,ESCALATE,Financial dispute: Disputed charges require private transaction lookup and billing verification.,I'm sorry about the unexpected charge. Should you want to check options for your Amazon Prime membership go here: https://t.co/ZSuWkSb94r,Fri Dec 01 16:51:28 +0000 2017
GOLDEN_076,1020111,361380,"Two problems, ordered an item, declined my card (for no reason) now will not accept payment again, second problem, topped up my balance, new balance is still £0",billing_and_payment,AUTO_HANDLE,Standard informational inquiry for billing_and_payment: Can be resolved with policy guidance.,"I'm sorry for your troubles! For your declined payment, check out this link and let us know if it resolves your issue: https://t.co/kJRkezw0s8 Was your gift card balance reload also declined?",Sat Nov 25 17:35:32 +0000 2017
GOLDEN_077,89190,135291,"I already emailed and got a copy paste response also listed the wrong product and then credited with £5, all i wanna know is where my package is.",order_status_delivery,AUTO_HANDLE,Standard informational inquiry for order_status_delivery: Can be resolved with policy guidance.,"I see! Thanks for the information, Lucas! Would you be able to contact us by phone or chat for real-time assistance with this delivery? You can contact us here: https://t.co/JzP7hlA23B and we will look into the matter thoroughly!",Thu Nov 30 15:53:36 +0000 2017
GOLDEN_078,1030318,363773,Hi i need help trying to login in to the app with a new password but it wont work now,account_and_security,ESCALATE,Security-sensitive: Account access and identity verification cannot be resolved in public channels.,We'd like to help and the best way is to reach out directly using this link: https://t.co/D3J18Uj2lx,Sat Oct 14 17:55:32 +0000 2017
GOLDEN_079,389931,208318,look into this. I got the iphone7plus delivery today but the invoice is not proper. Its ridiculous on part of seller,billing_and_payment,AUTO_HANDLE,Standard informational inquiry for billing_and_payment: Can be resolved with policy guidance.,I'm sorry about that. You can download a copy of your invoice via: https://t.co/tECXtmjBvU,Mon Oct 09 15:24:00 +0000 2017
GOLDEN_080,1044291,366925,"hi, I have just checked my bank account and have noticed I haven't been refunded for an item I sent back almost a month ago.",billing_and_payment,ESCALATE,Financial dispute: Disputed charges require private transaction lookup and billing verification.,I'm sorry the refund hasn't shown up yet! Please reach out here: https://t.co/JzP7hlA23B so we can look into this with you.,Sat Oct 14 19:24:00 +0000 2017
