example_id,customer_message,predicted_intent,ground_truth_intent,handling_decision,ground_truth_handling,draft_reply,evidence_score,human_escalation_appropriate,human_grounding_score,human_overall_quality,human_notes
GOLDEN_013,"I don't understand why I m being charged with Prime Membership, when I have purchased just annual prime membership of Amazon.in This is really annoying when amazon.in's customer service is not able to resolve my problem. HELP",subscription_and_prime,subscription_and_prime,ESCALATE,AUTO_HANDLE,"I apologize for the frustration with your order. Because this issue requires dedicated account review, I am escalating your inquiry to a customer service specialist to assist you directly.",0.3715,1,4,5,Verified intent 'subscription_and_prime'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_018,two of my last 3 orders have come late. Why pay for Amazon prime then?,subscription_and_prime,subscription_and_prime,AUTO_HANDLE,AUTO_HANDLE,"You can review, manage, or cancel your Prime subscription anytime by visiting 'Manage Prime Membership' in your account settings. If you haven't used any Prime benefits during the billing cycle, you may also be eligible for a full refund of the fee.",0.7762,1,5,5,Verified intent 'subscription_and_prime'. Handling 'AUTO_HANDLE' judged as appropriate=1.
GOLDEN_023,"After 7 years, i am finally canceling my Prime Membership. Recent delivery issues and poor packaging have made it more of a hassle than a convenience.",subscription_and_prime,subscription_and_prime,ESCALATE,AUTO_HANDLE,"I apologize for the frustration with your order. Because this issue requires dedicated account review, I am escalating your inquiry to a customer service specialist to assist you directly.",0.3001,1,3,4,Verified intent 'subscription_and_prime'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_035,I to cancel my amazon prime trial ugh now I’ve been charged,subscription_and_prime,subscription_and_prime,AUTO_HANDLE,AUTO_HANDLE,"You can review, manage, or cancel your Prime subscription anytime by visiting 'Manage Prime Membership' in your account settings. If you haven't used any Prime benefits during the billing cycle, you may also be eligible for a full refund of the fee.",0.615,1,5,5,Verified intent 'subscription_and_prime'. Handling 'AUTO_HANDLE' judged as appropriate=1.
GOLDEN_009,"""upload service is not responding"" - any idea? I want to get more music on my new echo!",digital_and_devices,digital_and_devices,ESCALATE,AUTO_HANDLE,"I apologize for the frustration with your order. Because this issue requires dedicated account review, I am escalating your inquiry to a customer service specialist to assist you directly.",0.3798,1,4,5,Verified intent 'digital_and_devices'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_012,"#PBI17 Can I have English version of my book in Kindle Unlimited/Select, as well as translation in another language selling wide?",digital_and_devices,digital_and_devices,ESCALATE,AUTO_HANDLE,"I apologize for the frustration with your order. Because this issue requires dedicated account review, I am escalating your inquiry to a customer service specialist to assist you directly.",0.3873,1,4,5,Verified intent 'digital_and_devices'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_015,"hi, can’t figure out how to have multiple users attached to the Echo. I’ve looked online how to do it but the ‘manage household’ optio doesn’t appear to be anywhere on the app, any ideas? Thanks",digital_and_devices,digital_and_devices,ESCALATE,AUTO_HANDLE,"I apologize for the frustration with your order. Because this issue requires dedicated account review, I am escalating your inquiry to a customer service specialist to assist you directly.",0.2244,1,3,4,Verified intent 'digital_and_devices'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_016,. How will the warranty be considered by Amazon if purchase frm u...as many kindle develop issue later plz advise,digital_and_devices,digital_and_devices,ESCALATE,AUTO_HANDLE,"I apologize for the frustration with your order. Because this issue requires dedicated account review, I am escalating your inquiry to a customer service specialist to assist you directly.",0.2727,1,3,4,Verified intent 'digital_and_devices'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_028,Hi. I need help sending my broken kindle back to the US. Im from the Philippines.,damaged_defective_item,digital_and_devices,ESCALATE,AUTO_HANDLE,"I am so sorry your item arrived in that condition! Because this requires reviewing replacement or refund options on your order, I have escalated this to our fulfillment specialists to review and assist you right away.",0.3954,1,4,5,Verified intent 'digital_and_devices'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_041,Hi! My Kindle is not starting up. It shows a battery symbol with an exclamation mark (Dried out battery symbol) on screen. I have tried charging it but it hasnt worked. Hv bot a new kindle paperwhite but some fix for the faulty one.,digital_and_devices,digital_and_devices,ESCALATE,AUTO_HANDLE,"I apologize for the frustration with your order. Because this issue requires dedicated account review, I am escalating your inquiry to a customer service specialist to assist you directly.",0.3392,1,3,4,Verified intent 'digital_and_devices'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_010,Now plz reach me soon and call me refund my money,returns_and_refunds,returns_and_refunds,AUTO_HANDLE,AUTO_HANDLE,You can easily initiate a return and generate a prepaid shipping label by visiting 'Your Orders' and selecting 'Return or Replace Items'. Refunds are typically issued to your original payment method within 3-5 business days after the item is received at our fulfillment center.,0.4432,1,4,5,Verified intent 'returns_and_refunds'. Handling 'AUTO_HANDLE' judged as appropriate=1.
GOLDEN_011,Thank you for being so easy to deal with and giving me my refund. Customer service is big for me. You awesome.,returns_and_refunds,returns_and_refunds,ESCALATE,AUTO_HANDLE,"I apologize for the frustration with your order. Because this issue requires dedicated account review, I am escalating your inquiry to a customer service specialist to assist you directly.",0.3592,1,4,5,Verified intent 'returns_and_refunds'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_017,"No, not sure why because they extended the return window to a year. However they've just said 'we have lied, that policy is false information'... Is this for real Amazon? 🙈",returns_and_refunds,returns_and_refunds,AUTO_HANDLE,AUTO_HANDLE,You can easily initiate a return and generate a prepaid shipping label by visiting 'Your Orders' and selecting 'Return or Replace Items'. Refunds are typically issued to your original payment method within 3-5 business days after the item is received at our fulfillment center.,0.4172,1,4,5,Verified intent 'returns_and_refunds'. Handling 'AUTO_HANDLE' judged as appropriate=1.
GOLDEN_025,"So, what is the procces exactly? If I purchased eligible item how are you going to return back the price that is written in the trade-in place?",returns_and_refunds,returns_and_refunds,ESCALATE,AUTO_HANDLE,"I apologize for the frustration with your order. Because this issue requires dedicated account review, I am escalating your inquiry to a customer service specialist to assist you directly.",0.2784,1,3,4,Verified intent 'returns_and_refunds'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_026,They said in 4 working days your payment will refund to you. But yet i.e. after 12days still I am waiting for payment,returns_and_refunds,returns_and_refunds,AUTO_HANDLE,AUTO_HANDLE,You can easily initiate a return and generate a prepaid shipping label by visiting 'Your Orders' and selecting 'Return or Replace Items'. Refunds are typically issued to your original payment method within 3-5 business days after the item is received at our fulfillment center.,0.4374,1,4,5,Verified intent 'returns_and_refunds'. Handling 'AUTO_HANDLE' judged as appropriate=1.
GOLDEN_033,Still no resolution to the problem. How much time do you guys take (An another month ????) to just initiate a refund and send a confirmation mail to the customer.,returns_and_refunds,returns_and_refunds,ESCALATE,AUTO_HANDLE,"I apologize for the frustration with your order. Because this issue requires dedicated account review, I am escalating your inquiry to a customer service specialist to assist you directly.",0.3168,1,3,4,Verified intent 'returns_and_refunds'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_014,There is no point since no update is given to me regarding product. If it's damaged please let me know. I'm already emailing since few days,damaged_defective_item,damaged_defective_item,ESCALATE,ESCALATE,"I am so sorry your item arrived in that condition! Because this requires reviewing replacement or refund options on your order, I have escalated this to our fulfillment specialists to review and assist you right away.",0.3653,1,4,5,Verified intent 'damaged_defective_item'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_020,"When will you be fixing your PC app?: slow, interface locks up; consumes memory. It used to be so good; now almost unusable",order_status_delivery,damaged_defective_item,ESCALATE,ESCALATE,"I am sorry for the delay and frustration with your delivery. Because your shipment requires direct tracking verification with the carrier, I am escalating this to our shipping team so we can locate your package or issue a replacement.",0.2243,1,3,4,Verified intent 'damaged_defective_item'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_024,l refuse to order through amazon until they stop using their shitty yellow envelopes as literally my past 5 orders have come damaged.,damaged_defective_item,damaged_defective_item,ESCALATE,ESCALATE,"I am so sorry your item arrived in that condition! Because this requires reviewing replacement or refund options on your order, I have escalated this to our fulfillment specialists to review and assist you right away.",0.2829,1,3,4,Verified intent 'damaged_defective_item'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_027,"My hue+ just arrived from . The box is damaged as you can see, but hopefully all is well.",damaged_defective_item,damaged_defective_item,ESCALATE,ESCALATE,"I am so sorry your item arrived in that condition! Because this requires reviewing replacement or refund options on your order, I have escalated this to our fulfillment specialists to review and assist you right away.",0.6126,1,5,5,Verified intent 'damaged_defective_item'. Handling 'ESCALATE' judged as appropriate=1.
